X,Y,OBJECTID,LATITUDE,LONGITUDE,NAME,STATION_TYPE,STATION_ID,STATION_STATUS,LAST_REPORTED,NUM_DOCKS_AVAILABLE,NUM_DOCKS_DISABLED,NUM_BIKES_AVAILABLE,NUM_EBIKES_AVAILABLE,NUM_BIKES_DISABLED,IS_INSTALLED,IS_RETURNING,IS_RENTING,HAS_KIOSK,IOS,ANDROID,ELECTRIC_BIKE_SURCHARGE_WAIVER,EIGHTD_HAS_KEY_DISPENSER,CAPACITY,RENTAL_METHODS,REGION_ID,GIS_LAST_MOD_DTTM,GIS_ID,REGION_NAME
-76.9863872788958,38.8840657855822,13340166,38.884058,-76.986385,14th & D St SE,classic,634,active,2021/08/05 13:52:32+00,7,0,10,1,2,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.010553284944,38.8662847812768,13340167,38.866277,-77.010551,Half & Water St SW,classic,636,active,2021/08/05 14:34:08+00,8,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0318822946121,38.9106817892954,13340168,38.910674,-77.03188,14th & Q St NW,classic,637,active,2021/08/05 14:53:37+00,19,0,0,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0296332940667,38.9169437907977,13340169,38.916936,-77.029631,13th & U St NW,classic,638,active,2021/08/05 15:07:01+00,15,0,4,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-76.9771892753118,38.8854907860357,13340170,38.885483,-76.977187,Stadium Armory Metro,classic,639,active,2021/08/05 14:40:47+00,5,0,14,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0686283085301,38.9657827986963,13340171,38.965775,-77.068626,Broad Branch Rd & Northampton St NW,classic,640,active,2021/08/05 08:57:22+00,12,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0428192921889,38.8140387691225,13340172,38.814031,-77.042817,N Pitt St & Montgomery St,classic,641,active,2021/08/05 13:51:24+00,2,0,12,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.0469152979038,38.8983097864515,13340173,38.898302,-77.046913,21st St & G st NW,classic,645,active,2021/08/05 14:56:16+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0176602880376,38.8811307841436,13340174,38.881123,-77.017658,4th St & G St SW,classic,646,active,2021/08/05 14:35:35+00,18,0,0,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0138232911704,38.9581057990419,13340175,38.958098,-77.013821,Kansas Ave & Longfellow St NW,classic,647,active,2021/08/05 11:56:11+00,7,0,11,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0459182943944,38.8529107765998,13340176,38.852903,-77.045916,National Airport,classic,648,active,2021/08/05 09:55:36+00,14,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0568752986832,38.8648457790858,13340177,38.864838,-77.056873,Fern St & Army Navy Dr,classic,649,active,2021/08/05 14:16:41+00,9,0,5,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0748953057729,38.8908707837752,13340178,38.890863,-77.074893,Arlington Blvd & Ft Myer Dr,classic,650,active,2021/08/05 15:03:42+00,7,0,7,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0594982991557,38.8530097764143,13340179,38.853002,-77.059496,23rd St S & Hayes St,classic,651,active,2021/08/05 13:52:07+00,9,0,6,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0738623060571,38.895075784171,13340180,38.895068,-77.07386,Wilson Blvd & N Oak St,classic,652,active,2021/08/05 14:30:49+00,10,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,17,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0842643095042,38.8862637819397,13340181,38.886256,-77.084262,Arlington Blvd & Fairfax Dr,classic,653,active,2021/08/05 14:50:03+00,5,0,11,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,16,"KEY,CREDITCARD",41,2021/08/05 11:19:31+00,,"Arlington, VA"
-77.0138162857898,38.8637507807205,13340182,38.863743,-77.013814,2nd & V St SW / James Creek Marina,classic,654,active,2021/08/05 15:13:29+00,10,0,9,1,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0059122835669,38.8718487820881,13340183,38.871841,-77.00591,1st St & Potomac Ave SE,classic,655,active,2021/08/05 11:19:21+00,16,0,3,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0454892989403,38.9180437900317,13340184,38.918036,-77.045487,20th & Columbia Rd NW,classic,656,active,2021/08/05 14:56:45+00,18,0,1,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.0021632828418,38.8768307835303,13340185,38.876823,-77.002161,3rd & M st SE,classic,657,active,2021/08/05 14:14:04+00,12,0,8,1,3,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,23,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-76.9253172596794,38.8833257875446,13340186,38.883318,-76.925315,53rd & D St SE/C.W. Harris Elementary,classic,659,active,2021/08/05 08:57:18+00,12,0,6,0,1,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,19,"KEY,CREDITCARD",42,2021/08/05 11:19:31+00,,"Washington, DC"
-77.1061133131289,38.8373137713862,13340187,38.837306,-77.106111,N Hampton Dr & Ford Ave,classic,662,active,2021/08/05 14:21:14+00,4,0,7,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,11,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.1357903204238,38.809716764675,13340188,38.809709,-77.135788,Whiting & Lane Dr,classic,663,active,2021/08/05 13:12:02+00,10,0,5,2,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
-77.1100163130133,38.815849767254,13340189,38.815842,-77.110014,N Howard St & Taney Ave,classic,664,active,2021/08/05 12:23:32+00,13,0,2,0,0,Yes,Yes,Yes,Yes,https://dc.lft.to/lastmile_qr_scan,https://dc.lft.to/lastmile_qr_scan,No,No,15,"KEY,CREDITCARD",40,2021/08/05 11:19:31+00,,"Alexandria, VA"
